Location,Latitude,Longitude,Rise Time,Culmination,Set Time,Duration (min)
Ahmedabad,23.0225,72.5714,2025-07-19 00:53:47,2025-07-19 00:56:40,2025-07-19 00:59:33,5.8
Ahmedabad,23.0225,72.5714,2025-07-19 02:31:24,2025-07-19 02:33:11,2025-07-19 02:34:57,3.5
Ahmedabad,23.0225,72.5714,2025-07-19 15:52:15,2025-07-19 15:55:35,2025-07-19 15:58:55,6.7
Mumbai,19.076,72.8777,2025-07-19 00:55:09,2025-07-19 00:57:30,2025-07-19 00:59:51,4.7
Mumbai,19.076,72.8777,2025-07-19 02:31:40,2025-07-19 02:34:06,2025-07-19 02:36:31,4.8
Mumbai,19.076,72.8777,2025-07-19 15:51:33,2025-07-19 15:54:49,2025-07-19 15:58:06,6.5
Delhi,28.7041,77.1025,2025-07-19 00:52:58,2025-07-19 00:56:19,2025-07-19 00:59:38,6.7
Delhi,28.7041,77.1025,2025-07-19 15:54:08,2025-07-19 15:57:27,2025-07-19 16:00:47,6.7
Bangalore,12.9716,77.5946,2025-07-19 00:57:25,2025-07-19 00:59:34,2025-07-19 01:01:43,4.3
Bangalore,12.9716,77.5946,2025-07-19 02:33:48,2025-07-19 02:36:09,2025-07-19 02:38:30,4.7
Bangalore,12.9716,77.5946,2025-07-19 14:15:19,2025-07-19 14:17:46,2025-07-19 14:20:12,4.9
Bangalore,12.9716,77.5946,2025-07-19 15:52:19,2025-07-19 15:54:21,2025-07-19 15:56:23,4.1
Chennai,13.0827,80.2707,2025-07-19 00:57:20,2025-07-19 01:00:00,2025-07-19 01:02:40,5.3
Chennai,13.0827,80.2707,2025-07-19 02:34:59,2025-07-19 02:36:31,2025-07-19 02:38:03,3.1
Chennai,13.0827,80.2707,2025-07-19 14:15:20,2025-07-19 14:18:11,2025-07-19 14:21:03,5.7
Chennai,13.0827,80.2707,2025-07-19 15:53:46,2025-07-19 15:54:51,2025-07-19 15:55:55,2.1
Kolkata,22.5726,88.3639,2025-07-18 23:21:20,2025-07-18 23:22:29,2025-07-18 23:23:38,2.3
Kolkata,22.5726,88.3639,2025-07-19 00:56:11,2025-07-19 00:59:18,2025-07-19 01:02:24,6.2
Kolkata,22.5726,88.3639,2025-07-19 14:18:29,2025-07-19 14:21:27,2025-07-19 14:24:26,5.9
Kolkata,22.5726,88.3639,2025-07-19 15:56:29,2025-07-19 15:58:12,2025-07-19 15:59:56,3.5
Hyderabad,17.385,78.4867,2025-07-19 00:55:53,2025-07-19 00:58:49,2025-07-19 01:01:44,5.8
Hyderabad,17.385,78.4867,2025-07-19 02:34:25,2025-07-19 02:35:17,2025-07-19 02:36:09,1.7
Hyderabad,17.385,78.4867,2025-07-19 14:16:59,2025-07-19 14:18:53,2025-07-19 14:20:46,3.8
Hyderabad,17.385,78.4867,2025-07-19 15:52:46,2025-07-19 15:55:25,2025-07-19 15:58:04,5.3
Pune,18.5204,73.8567,2025-07-19 00:55:21,2025-07-19 00:57:47,2025-07-19 01:00:12,4.9
Pune,18.5204,73.8567,2025-07-19 02:32:03,2025-07-19 02:34:22,2025-07-19 02:36:40,4.6
Pune,18.5204,73.8567,2025-07-19 15:51:40,2025-07-19 15:54:52,2025-07-19 15:58:04,6.4
